# doc pdhd/12 -- ANSWER KEY for the pdhd STM + Michel scan.
# Committed on purpose: it is the record of the sample at arm d15hnu /
# HEAD c0b1613b, and a scan whose key lives only beside a work/ arm stops
# being scorable the day that arm is retired.
# THE BLIND ON THIS FILE IS AN HONOUR RULE, NOT A STRUCTURAL ONE, and doc
# pdhd/12 sec 6 says so.  What IS structural is the display: the viewer
# never opens this file, and the chain's answer reaches no data source
# unless REVEAL is on -- proved by poisoning it.  Do not open this while
# scanning, and that goes for an assistant reading it on your behalf.
scan_id	tranche	stratum	event	cluster	npts	muon_len_cm	is_stm	michel_found	michel_conn_type	michel_len	michel_ke_best	michel_kink_deg	n_dots	in_fv	reject_bits	reject_names	n_near	n_far
2	1	S3	028084_0	43	231	142.17	0	1	3	0.0	15.87	-1.0	0	0	584	shape_flat|stop_near_boundary|profile_sparse	1003	7609
3	1	S1	028084_0	97	105	62.03	1	1	1	8.4	23.84	69.5	0	1	0	STM	1033	7606
9	1	S3	028084_1	39	290	180.99	0	1	1	6.41	8.99	167.1	0	1	1036	no_bragg|shape_flat|plateau_off_mip	497	7659
12	1	S1	028084_1	142	337	201.38	1	1	1	10.8	24.52	30.1	1	1	0	STM	1467	7595
15	1	S4	028084_10	109	978	589.5	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	6921	7849
17	1	S2	028084_11	59	325	193.69	1	0	0	0.0	0.0	-1.0	0	1	0	STM	1591	7477
35	1	S3	028084_15	102	284	169.02	0	1	1	2.35	2.02	135.4	0	1	12	no_bragg|shape_flat	1349	7703
37	1	S4	028084_16	106	739	449.62	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	4963	7921
42	1	S1	028084_17	55	606	367.21	1	1	1	8.36	7.69	169.3	0	1	0	STM	4785	7503
43	1	S1	028084_17	97	594	355.33	1	1	1	14.32	31.64	77.0	0	1	0	STM	4341	7540
45	1	S3	028084_17	113	226	133.24	0	1	2	0.2	0.45	-1.0	1	0	76	no_bragg|shape_flat|stop_near_boundary	1430	7783
55	1	S4	028084_2	27	118	67.84	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	783	7820
62	1	S1	028084_20	107	189	112.39	1	1	2	0.32	6.15	-1.0	1	1	0	STM	1182	7505
66	1	S2	028084_21	26	1052	635.05	1	0	0	0.0	0.0	-1.0	0	1	0	STM	16096	7563
70	1	S4	028084_21	128	438	259.93	0	0	0	0.0	0.0	-1.0	0	0	584	shape_flat|stop_near_boundary|profile_sparse	1634	7519
79	1	S1	028084_23	51	582	348.22	1	1	1	4.43	10.93	109.9	0	1	0	STM	3047	7770
86	1	S1	028084_24	52	117	69.67	1	1	2	0.41	2.81	-1.0	1	1	0	STM	1975	7748
94	1	S1	028084_26	109	83	49.47	1	1	2	0.04	2.84	-1.0	2	1	0	STM	601	7452
115	1	S2	028084_3	27	317	189.98	1	0	0	0.0	0.0	-1.0	0	1	0	STM	2669	7789
129	1	S1	028084_4	114	494	295.14	1	1	1	6.3	21.24	86.0	0	1	0	STM	5319	7692
136	1	S4	028084_6	109	827	494.04	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	3240	7709
138	1	S2	028084_6	117	140	83.29	1	0	0	0.0	0.0	-1.0	0	1	0	STM	766	7847
143	1	S1	028084_7	61	199	118.71	1	1	2	0.15	1.93	-1.0	2	1	0	STM	1649	7569
152	1	S1	029107_0	50	289	172.89	1	1	1	11.53	21.71	99.2	0	1	0	STM	1304	7708
155	1	S1	029107_0	127	68	40.46	1	1	1	9.91	22.78	62.1	0	1	0	STM	464	7768
161	1	S4	029107_10	37	317	189.91	0	0	0	0.0	0.0	-1.0	0	1	520	shape_flat|profile_sparse	556	7863
165	1	S3	029107_10	80	64	36.84	0	1	2	4.74	2.31	-1.0	1	1	1036	no_bragg|shape_flat|plateau_off_mip	801	7846
166	1	S4	029107_11	18	94	55.53	0	0	0	0.0	0.0	-1.0	0	1	16	not_muon_pid	1591	7846
169	1	S4	029107_11	48	47	29.55	0	0	0	0.0	0.0	-1.0	0	1	520	shape_flat|profile_sparse	743	7916
171	1	S1	029107_11	90	468	280.11	1	1	1	3.4	8.12	95.6	0	1	0	STM	4611	7594
172	1	S4	029107_12	21	382	228.98	0	0	0	0.0	0.0	-1.0	0	1	1024	plateau_off_mip	285	7697
176	1	S1	029107_12	108	842	507.52	1	1	2	0.11	5.83	-1.0	2	1	0	STM	9486	7622
183	1	S4	029107_15	17	335	219.32	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	510	7827
187	1	S1	029107_15	142	180	106.44	1	1	1	5.97	21.52	38.8	0	1	0	STM	904	7811
189	1	S4	029107_16	79	83	49.11	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	309	7747
190	1	S1	029107_16	106	625	372.83	1	1	1	5.59	23.11	90.2	2	1	0	STM	5027	7892
194	1	S3	029107_18	24	79	45.21	0	1	1	16.48	28.45	82.1	0	1	1032	shape_flat|plateau_off_mip	422	7858
197	1	S2	029107_18	44	819	512.11	1	0	0	0.0	0.0	-1.0	0	1	0	STM	554	7854
204	1	S1	029107_19	95	1122	676.59	1	1	1	10.62	70.38	121.1	1	1	0	STM	8244	7945
229	1	S2	029107_22	46	93	55.39	1	0	0	0.0	0.0	-1.0	0	1	0	STM	693	7943
230	1	S2	029107_22	123	463	276.32	1	0	0	0.0	0.0	-1.0	0	1	0	STM	1782	7822
232	1	S1	029107_23	55	52	31.21	1	1	1	10.07	20.13	40.6	0	1	0	STM	501	7295
237	1	S3	029107_24	19	139	82.78	0	1	1	12.48	21.91	140.8	0	1	12	no_bragg|shape_flat	794	7749
241	1	S1	029107_25	89	859	512.43	1	1	1	11.64	10.83	55.7	0	1	0	STM	5536	7970
244	1	S2	029107_25	110	265	157.6	1	0	0	0.0	0.0	-1.0	0	1	0	STM	1888	7743
245	1	S1	029107_25	123	470	285.64	1	1	1	3.31	9.64	34.3	2	1	0	STM	4646	7598
246	1	S3	029107_26	27	249	148.69	0	1	1	7.8	5.05	33.6	0	1	520	shape_flat|profile_sparse	947	7646
247	1	S3	029107_26	35	328	191.49	0	1	2	1.56	2.25	-1.0	1	0	1100	no_bragg|shape_flat|stop_near_boundary|plateau_off_mip	1764	7605
249	1	S3	029107_26	50	42	111.28	0	1	2	0.15	1.5	-1.0	2	1	520	shape_flat|profile_sparse	408	7673
253	1	S1	029107_27	39	104	62.11	1	1	2	1.73	0.91	-1.0	1	1	0	STM	1572	7976
257	1	S4	029107_28	36	395	236.4	0	0	0	0.0	0.0	-1.0	0	0	72	shape_flat|stop_near_boundary	6612	7971
265	1	S3	029107_3	99	189	112.2	0	1	1	3.62	4.44	109.5	0	1	12	no_bragg|shape_flat	3077	7603
266	1	S2	029107_3	107	508	304.2	1	0	0	0.0	0.0	-1.0	0	1	0	STM	4384	7516
267	1	S1	029107_3	111	551	329.77	1	1	1	8.94	31.25	58.8	1	1	0	STM	4084	7536
269	1	S1	029107_4	56	124	84.65	1	1	1	11.85	13.26	156.2	0	1	0	STM	343	7893
272	1	S2	029107_4	72	100	59.99	1	0	0	0.0	0.0	-1.0	0	1	0	STM	1504	7825
274	1	S2	029107_4	123	380	222.11	1	0	0	0.0	0.0	-1.0	0	1	0	STM	2496	7766
287	1	S2	029107_7	32	528	332.8	1	0	0	0.0	0.0	-1.0	0	1	0	STM	2856	7448
293	1	S3	029107_8	44	624	436.96	0	1	1	3.25	6.59	49.9	0	1	12	no_bragg|shape_flat	1497	7717
301	1	S1	029107_9	115	392	238.15	1	1	1	9.73	19.22	50.9	1	1	0	STM	2096	7606
1	2	S4	028084_0	35	765	457.99	0	0	0	0.0	0.0	-1.0	0	0	76	no_bragg|shape_flat|stop_near_boundary	3941	7998
4	2	S4	028084_0	108	169	100.79	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	969	7611
5	2	S4	028084_0	117	556	332.72	0	0	0	0.0	0.0	-1.0	0	0	76	no_bragg|shape_flat|stop_near_boundary	2827	7468
6	2	S4	028084_1	25	89	53.23	0	0	0	0.0	0.0	-1.0	0	0	76	no_bragg|shape_flat|stop_near_boundary	609	7652
7	2	S4	028084_1	28	53	30.36	0	0	0	0.0	0.0	-1.0	0	1	1032	shape_flat|plateau_off_mip	866	7635
8	2	S4	028084_1	33	753	455.39	0	0	0	0.0	0.0	-1.0	0	0	64	stop_near_boundary	665	7648
10	2	S4	028084_1	48	68	38.86	0	0	0	0.0	0.0	-1.0	0	0	68	no_bragg|stop_near_boundary	360	7668
11	2	S4	028084_1	53	307	200.52	0	0	0	0.0	0.0	-1.0	0	1	1036	no_bragg|shape_flat|plateau_off_mip	914	7631
13	2	S4	028084_10	46	271	162.18	0	0	0	0.0	0.0	-1.0	0	1	8	shape_flat	928	7726
14	2	S3	028084_10	108	326	196.17	0	1	1	2.56	26.45	65.2	0	1	4	no_bragg	1818	7666
16	2	S4	028084_11	34	450	263.79	0	0	0	0.0	0.0	-1.0	0	1	1036	no_bragg|shape_flat|plateau_off_mip	3326	7955
18	2	S2	028084_11	110	257	152.56	1	0	0	0.0	0.0	-1.0	0	1	0	STM	1236	7504
19	2	S3	028084_11	116	705	420.44	0	1	1	7.1	6.4	122.8	1	0	204	no_bragg|shape_flat|stop_near_boundary|vertex_hadron	5197	7799
20	2	S4	028084_11	130	122	71.85	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	744	7542
21	2	S1	028084_12	36	340	202.24	1	1	1	5.33	20.4	115.1	0	1	0	STM	2479	7686
22	2	S3	028084_12	46	316	184.54	0	1	2	13.08	17.54	-1.0	1	1	12	no_bragg|shape_flat	2281	7698
23	2	S4	028084_12	76	503	300.67	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	1614	7740
24	2	S3	028084_12	101	751	454.26	0	1	1	5.4	21.07	60.9	0	1	12	no_bragg|shape_flat	4858	7537
25	2	S3	028084_12	117	157	93.5	0	1	1	11.71	21.25	75.5	0	1	8	shape_flat	995	7779
26	2	S4	028084_12	131	45	55.68	0	0	0	0.0	0.0	-1.0	0	1	512	profile_sparse	107	7834
27	2	S4	028084_13	109	344	208.72	0	0	0	0.0	0.0	-1.0	0	0	76	no_bragg|shape_flat|stop_near_boundary	1847	7217
28	2	S4	028084_13	119	68	39.74	0	0	0	0.0	0.0	-1.0	0	1	520	shape_flat|profile_sparse	221	7380
29	2	S3	028084_14	20	124	73.57	0	1	3	0.0	5.65	-1.0	0	0	76	no_bragg|shape_flat|stop_near_boundary	659	7285
30	2	S4	028084_14	29	261	156.34	0	0	0	0.0	0.0	-1.0	0	1	1036	no_bragg|shape_flat|plateau_off_mip	176	7339
31	2	S4	028084_14	83	790	488.07	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	4309	7739
32	2	S4	028084_15	28	93	54.72	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	848	7728
33	2	S4	028084_15	31	64	34.7	0	0	0	0.0	0.0	-1.0	0	1	512	profile_sparse	261	7757
34	2	S3	028084_15	50	423	253.98	0	1	1	2.61	2.46	144.5	0	1	12	no_bragg|shape_flat	956	7722
36	2	S4	028084_16	100	322	191.57	0	0	0	0.0	0.0	-1.0	0	0	76	no_bragg|shape_flat|stop_near_boundary	1611	7635
38	2	S3	028084_16	110	243	145.7	0	1	3	0.0	28.61	-1.0	0	0	584	shape_flat|stop_near_boundary|profile_sparse	1267	7657
39	2	S3	028084_17	29	369	216.44	0	1	1	0.66	2.16	27.9	0	0	1100	no_bragg|shape_flat|stop_near_boundary|plateau_off_mip	1833	7749
40	2	S3	028084_17	35	622	372.34	0	1	1	5.8	13.74	23.1	0	0	76	no_bragg|shape_flat|stop_near_boundary	3721	7592
41	2	S3	028084_17	38	84	128.13	0	1	2	0.46	1.49	-1.0	2	1	512	profile_sparse	217	7884
44	2	S3	028084_17	110	128	75.95	0	1	3	0.0	8.36	-1.0	0	0	584	shape_flat|stop_near_boundary|profile_sparse	1375	7788
46	2	S3	028084_18	17	182	131.44	0	1	1	5.91	4.73	30.9	0	1	512	profile_sparse	270	7795
47	2	S3	028084_18	50	470	278.48	0	1	1	1.32	1.95	146.0	0	0	76	no_bragg|shape_flat|stop_near_boundary	3482	7947
48	2	S4	028084_18	104	590	351.15	0	0	0	0.0	0.0	-1.0	0	1	8	shape_flat	3970	7931
49	2	S3	028084_18	108	140	88.94	0	1	1	18.48	19.26	130.8	0	1	8	shape_flat	857	7776
50	2	S3	028084_18	122	303	183.53	0	1	2	5.24	60.67	-1.0	3	1	12	no_bragg|shape_flat	2417	7983
51	2	S3	028084_19	59	471	282.32	0	1	1	11.6	15.45	123.4	0	1	8	shape_flat	1904	7724
52	2	S4	028084_19	61	91	54.42	0	0	0	0.0	0.0	-1.0	0	0	64	stop_near_boundary	508	7824
53	2	S2	028084_2	19	567	344.74	1	0	0	0.0	0.0	-1.0	0	1	0	STM	2506	7752
54	2	S4	028084_2	26	99	59.57	0	0	0	0.0	0.0	-1.0	0	1	1032	shape_flat|plateau_off_mip	944	7814
56	2	S3	028084_2	49	256	152.82	0	1	1	1.84	4.97	49.0	0	1	12	no_bragg|shape_flat	1144	7806
57	2	S4	028084_2	116	262	157.01	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	4853	7977
58	2	S4	028084_20	20	408	260.46	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	1180	7505
59	2	S4	028084_20	26	203	124.88	0	0	0	0.0	0.0	-1.0	0	1	520	shape_flat|profile_sparse	746	7538
60	2	S4	028084_20	39	408	241.35	0	0	0	0.0	0.0	-1.0	0	1	1024	plateau_off_mip	1962	7445
61	2	S4	028084_20	65	103	61.04	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	425	7563
63	2	S3	028084_20	116	323	193.43	0	1	1	1.88	18.48	58.5	0	1	8	shape_flat	1793	7458
64	2	S2	028084_20	124	380	229.01	1	0	0	0.0	0.0	-1.0	0	1	0	STM	3258	7957
65	2	S3	028084_21	17	102	59.82	0	1	1	1.58	1.69	147.1	0	1	8	shape_flat	1115	7554
67	2	S2	028084_21	55	303	180.2	1	0	0	0.0	0.0	-1.0	0	1	0	STM	2297	7475
68	2	S4	028084_21	56	458	274.33	0	0	0	0.0	0.0	-1.0	0	1	8	shape_flat	2342	7472
69	2	S2	028084_21	120	571	348.05	1	0	0	0.0	0.0	-1.0	0	1	0	STM	2920	7964
71	2	S4	028084_21	132	343	206.42	0	0	0	0.0	0.0	-1.0	0	1	12	no_bragg|shape_flat	5909	7751
72	2	S4	028084_21	134	467	281.06	0	0	0	0.0	0.0	-1.0	0	1	1036	no_bragg|shape_flat|plateau_off_mip	1768	7510
